noun,adjective,alternate adjective,verb,skillset
good communicator,charismatic,,communicate,clear communication
team player,helpful,,work together,working with a team
problem solver,solutions-focused,results-oriented,solve problems,problem solving
,efficient,timely,manage time,good time management
critical thinker,,,think critically,critical thinking
,decisive,,make decisions,thoughtful decision making
,organized,,organize,organization
,positive,,manage stress,healthy stress management
,flexible,resilient,adapt,adaptability
,unflappable,,manage conflict,productive conflict management
leader,,,lead,effective leadership
,creative,,think outside the box,creativity
,enterprising,resourceful,use a variety of resources,resourcefulness
,,,persuade,
,open-minded,,use feedback effectively,constructive criticism
self starter,independent,,,opportunities to be self directed
,driven,ambitious,,ambition
,flexible,adapatable,adapt,adaptability
person of integrity,ethical,sincere,,integrity
,dependable,steady,,dependability
researcher,,,research,in-depth research
hard worker,,,work hard,strong work ethic
listener,,,listen,listening skills
negotiator,,,negotiate,negotiation
,intuitive,,read body language,
,compelling,,persuade,
orator,well-spoken,,speak publicly,public speaking
story-teller,,,build a narrative,storytelling
designer,artistic,,construct visuals,interesting visuals
writer,,,write,clear writing skills
life-long learner,curious,,seek knowledge,desire to learn
trail blazer,innovative,,innovate,innovation
,logical,,analyze,logical thinking
deal maker,,,make deals,deal making
decision maker,decisive,,make decisions,decision making
delegator,collaborative,,delegate,delegation
editor,responsive,,give clear feedback,giving clear feedback
,inspiring,,inspire the team,inspiring people
manager,,,manage people and projects,
mentor,helpful,,guide less-experienced coworkers,mentoring
motivator,encouraging,,motivate,motivating people
,confident,assured,,confidence
,kind,polite,,courtesy
,lively,exuberant,,energy
,enthusiatic,avid,,enthusiasm
,friendly,amiable,,friendliness
,honest,,,honesty
,witty,light-hearted,,humor
,patient,,,patience
,respectful,,respect differences,respectfulness
,empathetic,,,empathy
,attentive,,,attentiveness
,competitive,,,competitiveness
,dedicated,,,dedication
,dependable,,,dependability
,precise,,follow directions,
,tenacious,,rise to challenges,perseverance
,positive,cheerful,,good attitude
